20.13	19.5	17.79	18.43
20.27	19.58	17.71	18.09
20.24	19.56	17.7	18.18
20.29	19.5	17.72	18.17
20.34	19.49	17.94	17.86
20.31	19.64	17.71	17.89
20.27	19.59	17.79	17.99
20.27	19.63	17.87	17.85
20.16	19.75	17.71	18.02
20.46	19.42	17.4	18.17
20.49	19.35	17.37	18.24
20.47	19.36	17.24	18.36
20.62	18.82	17.14	18.79
20.86	18.68	16.57	18.74
20.93	18.29	15.96	19.17
20.86	17.4	15.56	19.89
20.45	16.67	15.09	20.68
19.76	15.95	14.24	21.41
19.46	15.86	13.77	21.61
19.57	16.59	14.42	21.39
19.04	17.85	14.85	21.3
19.2	18.8	15.93	20.69
19.84	19.02	16.2	20.01
20.32	19.11	16.52	19.28
20.27	19.59	17.3	18.39
19.92	19.79	17.92	18.23
20.36	18.77	17.97	18.76
20.55	19.18	17.7	18.08
19.76	19.42	18.99	17.94
22.25	17.35	8.81	16.8
